inner_X,inner_Y,inner_Z,outer_X,outer_Y,outer_Z,inner_curb_X,inner_curb_Y,inner_curb_Z,outer_curb_X,outer_curb_Y,outer_curb_Z
-88.68657042705976,186.47194919566263,0.0,-78.52701544858571,192.8581407555333,0.0,-90.37982959043673,185.4075839361582,0.0,-76.83375628550671,193.92250601551174,0.0
-89.05175790761369,187.0529123962902,0.0,-78.89223906433526,193.4391614419406,0.0,-90.7450110486092,185.98853755606294,0.0,-77.19898592378885,194.50353628288232,0.0
-89.4168516544389,187.63371918559537,0.0,-79.25737716747844,194.02003879463462,0.0,-91.11009740289691,186.56933258509304,0.0,-77.56413141965169,195.08442539614117,0.0
-89.7818535668229,188.2143709300194,0.0,-79.62243166307428,194.60077418863318,0.0,-91.4750905516256,187.14997038826067,0.0,-77.92919467911618,195.66517473173548,0.0
-90.14676554415266,188.7948689962749,0.0,-79.98740445618176,195.1813689989542,0.0,-91.839992393237,187.7304523308943,0.0,-78.29417760818662,196.24578566606743,0.0
-90.51158948591693,189.37521475134926,0.0,-80.35229745185993,195.76182460061563,0.0,-92.20480482629152,188.31077977864302,0.0,-78.65908211285043,196.82625957549334,0.0
-90.87632729170542,189.95540956250386,0.0,-80.71711255516783,196.34214236863545,0.0,-92.5695297494674,188.8909540974755,0.0,-79.02391009907824,197.40659783632404,0.0
-91.24098086120894,190.53545479727427,0.0,-81.0818516711644,196.9223236780315,0.0,-92.93416906156082,189.47097665368037,0.0,-79.38866347282365,197.98680182482437,0.0
-91.60555209422083,191.11535182347282,0.0,-81.44651670490872,197.50236990382174,0.0,-93.29872466148758,190.05084881386915,0.0,-79.75334414002337,198.56687291721323,0.0
-91.97004289063484,191.6951020091855,0.0,-81.8111095614598,198.08228242102422,0.0,-93.66319844828062,190.63057194497256,0.0,-80.11795400659729,199.146812489664,0.0
-92.33445515044954,192.27470672277872,0.0,-82.17563214587663,198.66206260465663,0.0,-94.02759232109518,191.21014741424864,0.0,-80.48249497844782,199.72662191830295,0.0
-92.69879077376311,192.85416733289193,0.0,-82.54008636321825,199.24171182973708,0.0,-94.39190817920273,191.7895765892738,0.0,-80.84696896146077,200.30630257921126,0.0
-93.06305166077864,193.43348520844552,0.0,-82.90447411854365,199.82123147128337,0.0,-94.75614792199701,192.36886083795218,0.0,-81.21137786150449,200.885855848423,0.0
-93.42723971180074,194.01266171863585,0.0,-83.26879731691186,200.4006229043135,0.0,-95.12031344899036,192.94800152851002,0.0,-81.57572358443038,201.46528310192645,0.0
-93.79135682723833,194.5916982329398,0.0,-83.6330578633819,200.97988750384536,0.0,-95.48440665981671,193.52700002950075,0.0,-81.94000803607248,202.04458571566295,0.0
-94.15540490760293,195.17059612111214,0.0,-83.99725766301277,201.55902664489693,0.0,-95.8484294542297,194.10585770980202,0.0,-82.30423312224775,202.62376506552772,0.0
-94.51938585350975,195.7493567531874,0.0,-84.36139862086351,202.13804170248613,0.0,-96.212383732104,194.68457593861788,0.0,-82.6684007487558,203.20282252736925,0.0
-94.88330156567824,196.3279814994808,0.0,-84.72548264199314,202.7169340516309,0.0,-96.57627139343585,195.26315608547984,0.0,-83.03251282137896,203.78175947698924,0.0
